"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_create_expense_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_id_negative[9999999]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_create_user_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_update_expense_null_attributes[None-1-79.32-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_expense_null_attributes[5-None-95.49-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_expense_null_attributes[5-1-None-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_id_not_found","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","0","test_create_expense_null_attributes[5-1-95.49-printer supplies-None]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_user_id_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_find_by_id_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_user_id_negative[None]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_find_by_username_not_found","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_update_expense_null","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_expense_null_attributes[5-1-95.49-None-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_username_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_update_expense_null_attributes[5-1-79.32-None-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_find_by_user_id_negative[567898888]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_expense_null_attributes[None-1-95.49-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_delete_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_id_negative_num","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_create_user_null_attributes[None-user123-password123-Employee]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","0","test_delete_negative[None]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_user_null_attributes[1-user123-None-Employee]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_update_expense_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_delete_negative[-49]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_delete_negative[83918479]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_update_expense_null_attributes[5-1-None-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_id_null","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_find_by_username_empty","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","0","test_find_by_id_positive","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_find_by_id_negative[-5]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_find_by_user_id_negative[-34]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_update_expense_null_attributes[5-None-79.32-printer supplies-2025-12-17]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","0","test_find_by_id_negative[None]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_user_null_attributes[1-None-password123-Employee]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_create_expense_null","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
"","1","test_create_user_null","tests.repository_tests","2025-12-19","passed","2025-12-19","TestUserRepository","test_user_repository","",""
"","1","test_update_expense_null_attributes[5-1-79.32-printer supplies-None]","tests.repository_tests","2025-12-19","passed","2025-12-19","TestExpenseRepository","test_expense_repository","",""
